Offence,Contrary to,Maximum penalty,Type
Procurement of intercourse by threats etc.,Sexual Offences Act 1956 s2,,MISCELLANEOUS OTHER OFFENCES
Causing prostitution of women,Sexual Offences Act 1956 s22,,MISCELLANEOUS OTHER OFFENCES
Detention of woman in brothel or other premises,Sexual Offences Act 1956 s24,2 years,MISCELLANEOUS OTHER OFFENCES
Procurement of a woman by false pretences,Sexual Offences Act 1956 s3,,MISCELLANEOUS OTHER OFFENCES
Procuring others to commit homosexual acts,Sexual Offences Act 1967 s4,2 years,MISCELLANEOUS OTHER OFFENCES
Trade description offences (9 offences),Trade Descriptions Act 1968 ss1 8 9 12 13 14,,MISCELLANEOUS OTHER OFFENCES
Misconduct endangering ship or persons on board ship,Merchant Shipping Act 1970 s27,,MISCELLANEOUS OTHER OFFENCES
Obstructing engine or carriage on railway,Malicious Damage Act 1861 s36,,MISCELLANEOUS OTHER OFFENCES
Offences relating to the safe custody of controlled drugs,Misuse of Drugs Act 1971 s11,,MISCELLANEOUS OTHER OFFENCES
Possession of Class B or C drug,Misuse of Drugs Act 1971 s52,,MISCELLANEOUS OTHER OFFENCES
Wanton or furious driving,Offences against the Person Act 1861 s35,2 years,MISCELLANEOUS OTHER OFFENCES
Dangerous driving,Road Traffic Act 1988 s2,,MISCELLANEOUS OTHER OFFENCES
Forgery and misuse of driving documents,Public Passenger Vehicles Act 1981 s65,,MISCELLANEOUS OTHER OFFENCES
Forgery of driving documents,Road Traffic Act 1960 s233,,MISCELLANEOUS OTHER OFFENCES
Forgery etc. of licences and other documents,Road Traffic Act 1988 s173,,MISCELLANEOUS OTHER OFFENCES
Mishandling or falsifying parking documents etc.,Road Traffic Regulation Act 1984 s115,,MISCELLANEOUS OTHER OFFENCES
Aggravated vehicle taking,Theft Act 1968 s12A,14 years,MISCELLANEOUS OTHER OFFENCES
Failing to stop or failing to report,Road Traffic Act 1988,6 months imprisonment and/ or 5000 fine,MISCELLANEOUS OTHER OFFENCES
Failing to nominate a driver at the time of an alleged offence,Road Traffic Act 1988 S172 Amended 2007,6 points and a fine of 1000.,MISCELLANEOUS OTHER OFFENCES
Forgery alteration fraud of licences etc.,Vehicle Excise and Registration Act 1994 s44,,MISCELLANEOUS OTHER OFFENCES
Making off without payment,Theft Act 1978 s3,,MISCELLANEOUS OTHER OFFENCES
Agreeing to indemnify sureties,Bail Act 1976 s91,,MISCELLANEOUS OTHER OFFENCES
Sending prohibited articles by post,Post Office Act 1953 s11,,MISCELLANEOUS OTHER OFFENCES
Impersonating Customs officer,Customs and Excise Management Act 1979 s13,,MISCELLANEOUS OTHER OFFENCES
Obstructing Customs officer,Customs and Excise Management Act 1979 s16,,MISCELLANEOUS OTHER OFFENCES
Conspiring to commit offences outside the United Kingdom,Criminal Justice Terrorism and Conspiracy Act 1998 s 5,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Perverting the course of public justice,Common law,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Perjuries (7 offences),Perjury Act 1911 ss172,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Corrupt transactions with agents,Prevention of Corruption Act 1906 s1,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Corruption in public office,Public Bodies Corrupt Practices Act 1889 s1,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Embracery,Common law,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Fabrication of evidence with intent to mislead a tribunal,Common law,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Personation of jurors,Common law,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Concealing an arrestable offence,Criminal Law Act 1967 s5,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Assisting offenders,Criminal Law Act 1967 s41,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
False evidence before European Court,European Communities Act 1972 s11,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Personating for purposes of bail etc.,Forgery Act 1861 s34,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Intimidating a witness juror etc.,Criminal Justice and Public Order Act 1994 s511,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Harming threatening to harm a witness juror etc.,Criminal Justice and Public Order Act 1994 s512,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Prejudicing a drug trafficking investigation,Drug Trafficking Act 1994 s581,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Giving false statements to procure cremation,Cremation Act 1902 s82,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
False statement tendered under section 9 of the Criminal Justice Act 1967,Criminal Justice Act 1967 s89,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Making a false statement to obtain interim possession order,Criminal Justice and Public Order Act 1994 s751,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Making false statement to resist making of interim possession order,Criminal Justice and Public Order Act 1994 s752,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
False statement tendered under section 5B of the Magistrates' Courts Act 1980,Magistrates' Courts Act 1980 s106,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Making false statement to authorised officer,Trade Descriptions Act 1968 s292,,OFFENCES AGAINST PUBLIC JUSTICE AND SIMILAR OFFENCES
Rape,Sexual Offences Act 1956 s11,Life,SERIOUS SEXUAL OFFENCES
Sexual intercourse with girl under 13,Sexual Offences Act 1956 s5,Life,SERIOUS SEXUAL OFFENCES
Attempted sexual intercourse with girl under 13,Sexual Offences Act 1956 s5,7 years,SERIOUS SEXUAL OFFENCES
Sexual intercourse with defective,Sexual Offences Act 1956 s7,Life,SERIOUS SEXUAL OFFENCES
Incest by man with a girl under 13,Sexual Offences Act 1956 s 10,Life,SERIOUS SEXUAL OFFENCES
Buggery of person under 16,Sexual Offences Act 1956 s12,,SERIOUS SEXUAL OFFENCES
Indecency with children under 14,Indecency with Children Act 1960 s11,10 years,SERIOUS SEXUAL OFFENCES
Taking having etc. indecent photographs of children,Protection of Children Act 1978 s1,10 years,SERIOUS SEXUAL OFFENCES
Possession of indecent photograph of a child,Criminal Justice Act 1988 s160,5 years,SERIOUS SEXUAL OFFENCES
Assault with intent to commit buggery,Sexual Offences Act 1956 s16,10 years,SERIOUS SEXUAL OFFENCES
Abduction of woman by force,Sexual Offences Act 1956 s17,14 years,SERIOUS SEXUAL OFFENCES
Permitting girl under 13 to use premises for sexual intercourse,Sexual Offences Act 1956 s25,Life,SERIOUS SEXUAL OFFENCES
Allowing or procuring child under 16 to go abroad to perform,Children and Young Persons Act 1933 ss25 26,,SERIOUS SEXUAL OFFENCES
Abduction of unmarried girl under 16 from parent,Sexual Offences Act 1956 s20,Life,SERIOUS SEXUAL OFFENCES
Permitting girl under 16 to use premises for intercourse,Sexual Offences Act 1956 s26,Life,SERIOUS SEXUAL OFFENCES
Causing or encouraging prostitution of girl under 16,Sexual Offences Act 1956 s28,Life,SERIOUS SEXUAL OFFENCES
Rape,Sexual Offences Act 2003 s 1,Life,SERIOUS SEXUAL OFFENCES
Assault by penetration,Sexual Offences Act 2003 s 2,Life,SERIOUS SEXUAL OFFENCES
Sexual assault,Sexual Offences Act 2003 s 3,10 years,SERIOUS SEXUAL OFFENCES
Causing a person to engage in sexual activity without consent,Sexual Offences Act 2003 s 4,10 years,SERIOUS SEXUAL OFFENCES
Rape of child under 13,Sexual Offences Act 2003 s 5,Life,SERIOUS SEXUAL OFFENCES
Assault of child under 13 by penetration,Sexual Offences Act 2003 s 6,Life,SERIOUS SEXUAL OFFENCES
Sexual assault of child under 13,Sexual Offences Act 2003 s 7,14 years,SERIOUS SEXUAL OFFENCES
Causing a child under 13 to engage in sexual activity,Sexual Offences Act 2003 s 8,14 years,SERIOUS SEXUAL OFFENCES
Sexual activity with a child,Sexual Offences Act 2003 s 9,14 years,SERIOUS SEXUAL OFFENCES
Causing a child to engage in sexual activity,Sexual Offences Act 2003 s 10,14 years,SERIOUS SEXUAL OFFENCES
Arranging or facilitating commission of a child sex offence,Sexual Offences Act 2003 s 14,14 years,SERIOUS SEXUAL OFFENCES
Sexual activity with a child family member with penetration (Offender over 18),Sexual Offences Act 2003 s 25,14 years,SERIOUS SEXUAL OFFENCES
Sexual activity with a child family member with penetration (Offender under 18),Sexual Offences Act 2003 s 25,5 years,SERIOUS SEXUAL OFFENCES
Inciting a child family member to engage in sexual activity (Offender over 18),Sexual Offences Act 2003 s 26,14 years,SERIOUS SEXUAL OFFENCES
Inciting a child family member to engage in sexual activity (Offender under 18),Sexual Offences Act 2003 s 26,5 years,SERIOUS SEXUAL OFFENCES
Sexual activity with a person with a mental disorder,Sexual Offences Act 2003 s 30,14 years,SERIOUS SEXUAL OFFENCES
Causing or inciting a person with a mental disorder to engage in sexual activity,Sexual Offences Act 2003 s 31,14 years,SERIOUS SEXUAL OFFENCES
Engaging in sexual activity in the presence of a person with a mental disorder impeding choice,Sexual Offences Act 2003 s 32,10 years,SERIOUS SEXUAL OFFENCES
Causing a person with a mental disorder impeding choice to watch a sexual act,Sexual Offences Act 2003 s 33,10 years,SERIOUS SEXUAL OFFENCES
Inducement threat or deception to procure sexual activity with a person with a mental disorder,Sexual Offences Act 2003 s 34,14 years,SERIOUS SEXUAL OFFENCES
Inducing person with mental disorder to engage in sexual activity,Sexual Offences Act 2003 s 35,14 years,SERIOUS SEXUAL OFFENCES
Engaging in sexual activity in the presence procured by inducement threat or deception of a person with a mental disorder,Sexual Offences Act 2003 s 36,10 years,SERIOUS SEXUAL OFFENCES
Causing a person with a mental disorder to watch a sexual act by inducement threat or deception,Sexual Offences Act 2003 s 37,10 years,SERIOUS SEXUAL OFFENCES
Care workers: sexual activity with a person with a mental disorder,Sexual Offences Act 2003 s 38,10 years,SERIOUS SEXUAL OFFENCES
Care workers: inciting person with mental disorder to engage in sexual act,Sexual Offences Act 2003 s 39,10 years,SERIOUS SEXUAL OFFENCES
Paying for sexual services  penetration  of a child under 13,Sexual Offences Act 2003 s 47,Life,SERIOUS SEXUAL OFFENCES
Paying for sexual services  penetration  of a child under 16,Sexual Offences Act 2003 s 47,14 years,SERIOUS SEXUAL OFFENCES
Causing or inciting child prostitution or pornography,Sexual Offences Act 2003 s 48,14 years,SERIOUS SEXUAL OFFENCES
Controlling a child prostitute,Sexual Offences Act 2003 s 49,14 years,SERIOUS SEXUAL OFFENCES
Facilitating child prostitution,Sexual Offences Act 2003 s 50,14 years,SERIOUS SEXUAL OFFENCES
Trafficking into UK for sexual exploitation,Sexual Offences Act 2003 s 57,14 years,SERIOUS SEXUAL OFFENCES
Trafficking within UK for sexual exploitation,Sexual Offences Act 2003 s 58,14 years,SERIOUS SEXUAL OFFENCES
Trafficking out of UK for sexual exploitation,Sexual Offences Act 2003 s 59,14 years,SERIOUS SEXUAL OFFENCES
